变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,0.7167,1.4391,2.0476,0.122,34.3713,0.6184698115379426
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,0.7167,1.4391,2.0476,0.122,34.3713,0.6184698115379427
红细胞计数(*10^12/L),-0.1795,0.3645,0.8357,0.4091,1.7072,0.6223703129326013
VTE评估量表（padua1，caprini2，P+C3）_padua,0.1854,0.5289,1.2037,0.4269,3.3939,0.7259136101626231
入院科室_泌尿外科,-0.2485,0.8807,0.78,0.1388,4.3829,0.7778541898759744
首次VTE中高风险评分日期与药物预防日期差值,0.0087,0.0719,1.0087,0.8761,1.1615,0.9037326236010168
出院舒张压,-0.0002,0.0255,0.9998,0.951,1.0511,0.993211230791212
是否体力活动水平低,21.2319,8307.6839,1662995459.5608,0.0,inf,0.9979608545436095
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_2.06,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
入院科室_创伤骨科,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_4.98,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_10.42,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_基底节出血(右侧),23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_化疗后骨髓抑制,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_基底节出血(左侧),23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_＞20.00,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_10.34,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_5.45,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_5.86,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_6.38,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_4.04,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_4.18,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_脑干出血,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_急性脑梗死,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_慢性心力衰竭急性发作,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_急性非ST段抬高型心肌梗死,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_蛛网膜下腔出血,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_胆囊结石伴有急性胆囊炎,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_肾结石(双侧、右侧为著),23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_肾肿物(右),23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_急性肺栓塞,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_急性心力衰竭,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_尿毒症性脑病,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_基底节出血(左侧) ,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
入院科室_脊柱外科,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
首次异常D-二聚体检测数值（μg/ml FEU）_2.38,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_难治性心力衰竭,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_重症肺炎,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_颞叶出血(左侧）,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_腰椎间盘突出伴神经根病,23.0148,68703.5329,9889891390.0522,0.0,inf,0.9997327191818739
主要疾病诊断_肺恶性肿瘤,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_腹腔占位性质待查,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_间变大细胞淋巴瘤,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_脑梗死恢复期  偏瘫(左侧)  皮肤感觉减退(左侧)  肩关节半脱位(左),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_结肠恶性肿瘤,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_成人Ph-急性淋巴细胞白血病,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_肾输尿管结石伴肾积水和感染,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_急性暴发性心肌炎,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_肾造瘘管移位,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_1.5,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_3.61,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_咯血,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_4.4,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_4.77,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_.双侧亚急性硬膜下血肿,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_基底节出血(右侧基底节、丘脑、侧脑室旁白质) ,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_1.45,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_3.88,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_1.1,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_3.54,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_0.98,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_0.24,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
首次异常D-二聚体检测数值（μg/ml FEU）_0.81,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
主要疾病诊断_鞍区病变,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407475
入院科室_介入科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_股骨颈骨折(右侧),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_股骨骨折后遗症,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_肾上腺肿物(左侧),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_69.25,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_卵巢黏液性囊腺瘤(右侧),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_右乳导管乳头状原位癌（pTisN0M0 0期）,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_乳腺恶性肿瘤,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_5.97,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_7.58,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_1.64,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_2.48,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_25.44,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_下肢静脉闭塞(右髂静脉),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_12.55,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_2.74,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_2.28,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_1.11,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
入院科室_甲乳血管外科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
入院科室_全科医学科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
入院科室_甲乳外科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
入院科室_消化内科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
入院科室_老年医学科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
首次异常D-二聚体检测数值（μg/ml FEU）_2.97,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_不稳定型心绞痛,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_肾恶性肿瘤,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_锁骨下盗血综合征伴锁骨下动脉狭窄(左侧) ,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_胫腓骨下端骨折(胫腓骨下端骨折术后),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_脑室腹腔分流管腹腔段外露,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_慢性肾脏病IV期 肾性贫血 高磷血症 继发性甲状旁腺功能亢进 代谢性酸中毒 血液透析 血管透析导管的机械性并发症,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_手术后恶性肿瘤化学治疗,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_泌尿外科,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_社区获得性肺炎,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_慢性肾脏病V期 慢性心力衰竭 肾性贫血 低钙血症 高磷血症,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_急性消化道出血：消化性溃疡并出血？,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_多发性大脑挫裂伤(双侧额叶、颞叶),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_左侧股骨颈骨折,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_急性脑梗死（左侧大脑半球）,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_急性消化道穿孔,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_急性脑梗死？,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_意识障碍(查因),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_脑梗死亚急性期,-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
主要疾病诊断_肾错构瘤破裂出血(左侧),-21.6049,68703.3637,0.0,0.0,inf,0.9997490915407476
入院科室_肿瘤科,-24.9153,202728.1386,0.0,0.0,inf,0.9999019398431667
主要疾病诊断_脑出血恢复期,-24.9153,202728.1386,0.0,0.0,inf,0.9999019398431676
糖尿病史,-0.0,0.5606,1.0,0.3333,3.0006,0.9999999999999989
入院科室_神经内科,0.0,1.2536,1.0,0.0857,11.6696,0.9999999999999999
入院科室_血液内科,0.0,1.2536,1.0,0.0857,11.6696,0.9999999999999999
