变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
首次异常D-二聚体检测数值（μg/ml FEU）_2.02,-24.6451,173911.4896,0.0,0.0,inf,0.9998869313961963
首次异常D-二聚体检测数值（μg/ml FEU）_2.95,-24.6451,173911.4896,0.0,0.0,inf,0.9998869313962004
主要疾病诊断_大脑动脉闭塞脑梗死,-24.6451,173911.4896,0.0,0.0,inf,0.9998869313962004
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,-24.6451,173911.4897,0.0,0.0,inf,0.9998869313962334
首次异常D-二聚体检测数值（μg/ml FEU）_1.9,-24.6451,173911.4897,0.0,0.0,inf,0.9998869313962334
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,-24.6451,173911.4897,0.0,0.0,inf,0.9998869313962354
首次异常D-二聚体检测数值（μg/ml FEU）_3.77,-24.6451,173911.4897,0.0,0.0,inf,0.9998869313962354
主要疾病诊断_社区获得性肺炎,-24.6451,173911.5344,0.0,0.0,inf,0.9998869314229297
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,-24.6451,173911.5646,0.0,0.0,inf,0.9998869314409676
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,-24.6451,173911.5646,0.0,0.0,inf,0.9998869314410043
首次异常D-二聚体检测数值（μg/ml FEU）_0.8,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_支气管或肺恶性肿瘤,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_梗阻性黄疸,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_特鲁索综合征,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.4,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.73,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_手术后恶性肿瘤化学治疗第三次化疗后,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_胆总管结石,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_手术后恶性肿瘤化学治疗,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_恶性肿瘤维持性化学治疗,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_恶性肿瘤靶向治疗,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,26.2552,453190.0603,252620373375.9027,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_社区获得性肺炎，重症,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.84,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_腰椎间盘突出,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.74,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.37,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_胃多发溃疡并出血,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_胆囊结石伴急性胆囊炎,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_肝脏转移瘤,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_肺挫伤,26.2552,453190.0603,252620373375.9,0.0,inf,0.999953775284142
主要疾病诊断_心源性脑栓塞,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_急性上消化道出血：消化性溃疡并出血,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_急性多发脑梗死,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_急性大面积脑梗死,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_急性肺动脉栓塞,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_类风湿性关节炎,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.75,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.23,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.29,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.33,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.16,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_慢性阻塞性肺病伴有急性加重,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.24,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.25,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_1.94,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.03,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.92,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.69,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.21,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.51,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_左侧多发肋骨骨折（4-8肋）,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_头晕查因：后循环缺血？,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_左侧基底节区出血,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_2.01,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_左股骨粗隆下骨折术后,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_左腋神经损伤,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_左胫骨平台骨折,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_急性心力衰竭,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_大气道狭窄,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_大脑中动脉狭窄,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_大面积肺栓塞（高危组 ）,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.75,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.67,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.53,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.76,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_3.4,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.91,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.9,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_右髂骨粉碎性骨折,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_右胫骨骨折 ,26.2552,453190.0603,252620373375.9027,0.0,inf,0.999953775284142
主要疾病诊断_右肺肺炎,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_急性广泛前壁心肌梗死,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_右肺嗜肺军团菌肺炎,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_右侧胫骨髁间棘骨折,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.76,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_左侧大隐静脉曲张,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.75,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.72,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.63,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
入院科室_内分泌科,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
入院科室_创伤中心,26.2552,453190.0603,252620373375.9,0.0,inf,0.999953775284142
主要疾病诊断_细菌性肺炎,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.6,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.65,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
入院科室_心胸外科,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_化疗后骨髓抑制,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_十二指肠腺癌并出血,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_双侧腹股沟复发性直疝,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_双侧颈内动脉C5段动脉瘤可能,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_双肺肺炎（肺炎克雷伯杆菌+白色念珠菌+克柔念珠菌）,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_双肾多发错构瘤,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_4.58,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_出血性脑梗死,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_冠状动脉粥样硬化性心脏病 三支病变,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_再生障碍性贫血,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_全身多发损伤,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_发热查因：重症肺炎？其他？,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_9.14,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_24.08,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_22.0,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_21.7,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_9.23,26.2552,453190.0603,252620373375.9,0.0,inf,0.999953775284142
主要疾病诊断_下肢静脉血栓形成,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_下肢肌肉损伤,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_2型糖尿病,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_1.双侧乳腺肿物性质待查：纤维腺瘤？乳腺腺病？乳腺癌？,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_取除下腔静脉滤器,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_降结肠恶性肿瘤结肠癌伴出血,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_颅占位性病变,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_乳腺恶性肿瘤,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_充血性心力衰竭,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_12.13,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
首次异常D-二聚体检测数值（μg/ml FEU）_14.52,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_败血症,26.2552,453190.0603,252620373375.9027,0.0,inf,0.999953775284142
主要疾病诊断_脓毒血症,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
入院科室_泌尿外科,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
入院科室_甲乳外科,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_重型原发性免疫性血小板减少症,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_胸段脊髓胶质瘤，WHO2级,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_胸痛,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_脑血管狭窄,26.2552,453190.0603,252620373375.8991,0.0,inf,0.999953775284142
主要疾病诊断_脑转移瘤术后恢复期,26.2552,453190.0603,252620373375.9009,0.0,inf,0.999953775284142
主要疾病诊断_胸椎骨折,-25.8582,452959.7467,0.0,0.0,inf,0.9999544509818016
主要疾病诊断_胸腔积液,-25.8582,452959.7467,0.0,0.0,inf,0.9999544509818016
主要疾病诊断_脑血管意外,-25.8582,452959.7467,0.0,0.0,inf,0.9999544509818016
