变量,类型,阳性组(n=101),阴性组(n=123),统计方法,P值
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,分类,15/101 (14.9%),10/123 (8.1%),卡方检验,0.16869012262721403
首次异常DD与入院日期差值,分类,72/101 (71.3%),76/123 (61.8%),卡方检验,0.17630792446838647
钾离子,连续,3.89[3.66-4.23],3.83[3.54-4.13],Mann-Whitney U,0.17735648861009223
是否疲惫,分类,20/101 (19.8%),35/123 (28.5%),卡方检验,0.17983666969628087
首次异常D-二聚体检测数值（μg/ml FEU）_1.2,分类,2/101 (2.0%),0/123 (0.0%),Fisher精确,0.20219410634208837
主要疾病诊断_下肢深静脉血栓形成,分类,2/101 (2.0%),0/123 (0.0%),Fisher精确,0.20219410634208837
首次异常D-二聚体检测数值（μg/ml FEU）_1.65,分类,2/101 (2.0%),0/123 (0.0%),Fisher精确,0.20219410634208837
出院收缩压,连续,128.56±19.13,125.52±16.68,t检验,0.2047575689172851
VTE诊断日期与入院日期是否大于24h,分类,52/101 (51.5%),52/123 (42.3%),卡方检验,0.2148048710138654
入院科室_普外科,分类,7/101 (6.9%),4/123 (3.3%),Fisher精确,0.229127686526653
高血压史,分类,51/101 (50.5%),73/123 (59.3%),卡方检验,0.2334973757218393
预防措施_机械预防,分类,6/101 (5.9%),14/123 (11.4%),卡方检验,0.23575700645125902
VTE评估量表（padua1，caprini2，P+C3）_caprini,分类,27/101 (26.7%),43/123 (35.0%),卡方检验,0.23923194362422862
出院舒张压,连续,76.29±10.55,74.59±11.36,t检验,0.25062336893138426
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,分类,0/101 (0.0%),3/123 (2.4%),Fisher精确,0.2539037475976938
是否存在抗凝禁忌,分类,62/101 (61.4%),85/123 (69.1%),卡方检验,0.2850558698387816
肾功能不全,分类,25/101 (24.8%),39/123 (31.7%),卡方检验,0.31833720530093396
中性粒细胞绝对值(NEUT#)（*10^9/L）,连续,5.49[3.47-7.47],5.67[4.20-8.38],Mann-Whitney U,0.3274988527900735
入院舒张压,连续,78.00[70.00-85.00],79.00[71.00-86.00],Mann-Whitney U,0.3666547550140218
主要疾病诊断_重症肺炎,分类,1/101 (1.0%),4/123 (3.3%),Fisher精确,0.38157336436154693
凝血酶原时间PT（s）,连续,12.10[11.20-12.90],12.10[11.60-13.00],Mann-Whitney U,0.39393871636141786
主要疾病诊断_脑出血恢复期,分类,4/101 (4.0%),2/123 (1.6%),Fisher精确,0.41291827603089315
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,分类,4/101 (4.0%),2/123 (1.6%),Fisher精确,0.41291827603089315
手术史,分类,54/101 (53.5%),58/123 (47.2%),卡方检验,0.42042798997924236
白细胞计数(*10^9/L),连续,7.89[5.79-9.64],7.75[6.04-10.71],Mann-Whitney U,0.42442353821450307
VTE评估量表（padua1，caprini2，P+C3）_padua,分类,70/101 (69.3%),78/123 (63.4%),卡方检验,0.4324587132944966
入院科室_甲乳外科,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
入院科室_创伤中心,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_降结肠恶性肿瘤结肠癌伴出血,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_脑转移瘤术后恢复期,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.4,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_恶性肿瘤靶向治疗,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_手术后恶性肿瘤化学治疗第三次化疗后,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_慢性阻塞性肺病伴有急性加重,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_左股骨粗隆下骨折术后,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_急性肺动脉栓塞,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_左胫骨平台骨折,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_急性心力衰竭,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_心源性脑栓塞,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_急性上消化道出血：消化性溃疡并出血,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_左腋神经损伤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_社区获得性肺炎，重症,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.74,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_肝脏转移瘤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_细菌性肺炎,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_肺挫伤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_支气管或肺恶性肿瘤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_梗阻性黄疸,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_特鲁索综合征,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_恶性肿瘤维持性化学治疗,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_类风湿性关节炎,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.8,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.84,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_手术后恶性肿瘤化学治疗,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.73,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_胆囊结石伴急性胆囊炎,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_左侧基底节区出血,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_头晕查因：后循环缺血？,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_左侧多发肋骨骨折（4-8肋）,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_大面积肺栓塞（高危组 ）,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_急性大面积脑梗死,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_急性广泛前壁心肌梗死,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.37,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_急性多发脑梗死,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_双肾多发错构瘤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_双肺肺炎（肺炎克雷伯杆菌+白色念珠菌+克柔念珠菌）,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_大脑中动脉狭窄,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_左侧大隐静脉曲张,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_右髂骨粉碎性骨折,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_脑血管狭窄,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
入院科室_心胸外科,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_脓毒血症,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_胸痛,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.6,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_0.65,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_胃多发溃疡并出血,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_胸段脊髓胶质瘤，WHO2级,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_胆总管结石,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
入院科室_内分泌科,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_败血症,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_腰椎间盘突出,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
入院科室_泌尿外科,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_重型原发性免疫性血小板减少症,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_颅占位性病变,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.75,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.72,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.63,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.67,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.24,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_14.52,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_12.13,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_9.23,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.53,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.76,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.75,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_22.0,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.9,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.76,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.58,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_右胫骨骨折 ,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_取除下腔静脉滤器,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_右侧胫骨髁间棘骨折,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_右肺嗜肺军团菌肺炎,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_右肺肺炎,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.75,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_大气道狭窄,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.25,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.4,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_1.双侧乳腺肿物性质待查：纤维腺瘤？乳腺腺病？乳腺癌？,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_2型糖尿病,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_下肢肌肉损伤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_下肢静脉血栓形成,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_乳腺恶性肿瘤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.69,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.92,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.03,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_21.7,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_3.21,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_24.08,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_发热查因：重症肺炎？其他？,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.16,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.01,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_充血性心力衰竭,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_全身多发损伤,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_冠状动脉粥样硬化性心脏病 三支病变,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_再生障碍性贫血,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_出血性脑梗死,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_化疗后骨髓抑制,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.29,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_十二指肠腺癌并出血,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_双侧腹股沟复发性直疝,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
主要疾病诊断_双侧颈内动脉C5段动脉瘤可能,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.23,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.51,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_2.33,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_1.94,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_4.91,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_9.14,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,分类,1/101 (1.0%),0/123 (0.0%),Fisher精确,0.4508928571428571
Braden量表,连续,18.00[13.00-22.00],17.00[12.50-21.00],Mann-Whitney U,0.4589995606336965
VTE首次中高危评分日期与药物预防日期差值_无值,分类,29/101 (28.7%),29/123 (23.6%),卡方检验,0.47163117443994884
入院科室_甲乳血管外科,分类,5/101 (5.0%),3/123 (2.4%),Fisher精确,0.47251254395673026
VTE首次中高危评分日期与机械预防日期差值(连续),连续,0.00[0.00-0.00],0.00[0.00-0.00],Mann-Whitney U,0.4883718513255447
首次VTE中高风险评分日期与机械预防日期差值,连续,0.00[0.00-0.00],0.00[0.00-0.00],Mann-Whitney U,0.4883718513255447
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_3.77,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_2.95,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
主要疾病诊断_大脑动脉闭塞脑梗死,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
主要疾病诊断_社区获得性肺炎,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_2.02,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
首次异常D-二聚体检测数值（μg/ml FEU）_1.9,分类,0/101 (0.0%),2/123 (1.6%),Fisher精确,0.5026024983984624
入院科室_肿瘤科,分类,3/101 (3.0%),7/123 (5.7%),Fisher精确,0.5178693932927956
入院科室_老年医学科,分类,3/101 (3.0%),6/123 (4.9%),Fisher精确,0.5183810183952755
BMI,连续,22.49[21.32-24.64],22.49[21.23-24.30],Mann-Whitney U,0.5193982539934365
总钙(mmol/L),连续,2.14[2.05-2.24],2.14[2.02-2.22],Mann-Whitney U,0.5366518556650142
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,分类,2/101 (2.0%),1/123 (0.8%),Fisher精确,0.5899831405717055
入院科室_创伤骨科,分类,2/101 (2.0%),1/123 (0.8%),Fisher精确,0.5899831405717055
红细胞计数(*10^12/L),连续,3.81±0.85,3.87±0.73,t检验,0.6119947125263412
入院科室_骨关节科,分类,1/101 (1.0%),3/123 (2.4%),Fisher精确,0.6289440186169282
主要疾病诊断_慢性肾脏病5期,分类,3/101 (3.0%),2/123 (1.6%),Fisher精确,0.6598653503988507
VTE确诊日期与入院日期差值,连续,2.00[0.00-6.00],1.00[0.00-7.00],Mann-Whitney U,0.6942145658518573
是否药物预防,分类,75/101 (74.3%),95/123 (77.2%),卡方检验,0.7176629682921873
VTE首次中高危评分日期与药物预防日期差值(连续),连续,0.00[0.00-2.00],0.00[0.00-1.50],Mann-Whitney U,0.7405379687528901
入院科室_神经内科,分类,13/101 (12.9%),13/123 (10.6%),卡方检验,0.7446950427935977
