变量,类型,阴性组(n=122),阳性组(n=102),P值
入院舒张压,连续,79.39±13.21,78.04±12.88,0.3709228399786467
VTE评估量表（padua1，caprini2，P+C3）_padua,分类,77/122 (63.1%),71/102 (69.6%),0.3786036184886724
VTE首次中高危评分日期与药物预防日期差值_1,分类,15/122 (12.3%),8/102 (7.8%),0.3831121525975011
首次异常D-二聚体检测数值（μg/ml FEU）_1.2,分类,0/122 (0.0%),2/102 (2.0%),0.40064031875234085
首次异常D-二聚体检测数值（μg/ml FEU）_1.65,分类,0/122 (0.0%),2/102 (2.0%),0.40064031875234085
主要疾病诊断_下肢深静脉血栓形成,分类,0/122 (0.0%),2/102 (2.0%),0.40064031875234085
白细胞计数(*10^9/L),连续,8.76±4.06,8.31±3.67,0.4146753934152061
Braden量表,连续,16.91±4.54,17.36±4.51,0.4333252382804412
出院舒张压,连续,74.62±11.40,76.23±10.52,0.43535509934503547
出院收缩压,连续,125.58±16.73,128.46±19.06,0.47685106474168937
VTE首次中高危评分日期与药物预防日期差值_9,分类,4/122 (3.3%),1/102 (1.0%),0.48051006784878914
主要疾病诊断_重症肺炎,分类,4/122 (3.3%),1/102 (1.0%),0.48051006784878914
凝血酶原时间PT（s）,连续,12.42±1.47,12.29±1.51,0.4816840837141516
BMI,连续,22.51±3.51,22.74±2.88,0.4859486952332529
VTE首次中高危评分日期与药物预防日期差值_7,分类,1/122 (0.8%),3/102 (2.9%),0.4917940695997599
入院科室_肿瘤科,分类,7/122 (5.7%),3/102 (2.9%),0.49368369358547304
VTE首次中高危评分日期与药物预防日期差值_none,分类,29/122 (23.8%),29/102 (28.4%),0.5222283119136613
主要疾病诊断_脑出血恢复期,分类,2/122 (1.6%),4/102 (3.9%),0.5234278685157268
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,分类,2/122 (1.6%),4/102 (3.9%),0.5234278685157268
入院科室_甲乳血管外科,分类,3/122 (2.5%),5/102 (4.9%),0.5354629533035793
VTE首次中高危评分日期与药物预防日期差值_10,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
VTE首次中高危评分日期与机械预防日期差值_-3,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
主要疾病诊断_大脑动脉闭塞脑梗死,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_3.77,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_2.95,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_1.9,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
VTE首次中高危评分日期与机械预防日期差值_9,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_2.02,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
主要疾病诊断_社区获得性肺炎,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
VTE首次中高危评分日期与药物预防日期差值_-4,分类,2/122 (1.6%),0/102 (0.0%),0.558018098080131
总钙(mmol/L),连续,2.14±0.15,2.14±0.14,0.66352322940494
RBC平均血红蛋白量(MCH),连续,29.26±3.23,29.60±2.70,0.6697070383839113
入院科室_老年医学科,分类,6/122 (4.9%),3/102 (2.9%),0.6827572892931878
是否步速缓慢,分类,51/122 (41.8%),39/102 (38.2%),0.6850293282513282
首次VTE中高风险评分日期与机械预防日期差值,连续,0.20±5.00,0.37±5.70,0.6902484410402033
首次DD与入院日期差值,分类,61/122 (50.0%),49/102 (48.0%),0.6956970583685902
首次VTE中高风险评分日期与药物预防日期差值,连续,1.06±3.93,0.78±3.24,0.7407810036745577
VTE首次中高危评分日期与药物预防日期差值_6,分类,3/122 (2.5%),1/102 (1.0%),0.7446982072582176
VTE首次中高危评分日期与机械预防日期差值_3,分类,3/122 (2.5%),1/102 (1.0%),0.7446982072582176
入院科室_骨关节科,分类,3/122 (2.5%),1/102 (1.0%),0.7446982072582176
是否药物预防,分类,94/122 (77.0%),76/102 (74.5%),0.7751368294345413
入院科室_神经内科,分类,13/122 (10.7%),13/102 (12.7%),0.7819726513883245
VTE首次中高危评分日期与药物预防日期差值_3,分类,4/122 (3.3%),5/102 (4.9%),0.7836986144603848
VTE确诊日期与入院日期差值,连续,3.77±5.63,3.78±6.85,0.8123724112639616
血红蛋白浓度HGB【确诊前最近一次】(g/L),连续,111.47±22.85,111.37±25.98,0.8343510298057136
主要疾病诊断_慢性肾脏病5期,分类,2/122 (1.6%),3/102 (2.9%),0.8393501117554408
RBC平均血红蛋白浓度(MCHC),连续,329.13±13.97,329.20±12.52,0.8488761991777719
性别_女,分类,60/122 (49.2%),48/102 (47.1%),0.855426315921044
性别_男,分类,62/122 (50.8%),54/102 (52.9%),0.855426315921044
身高,连续,1.62±0.07,1.62±0.09,0.8582071880982078
住院天数,连续,16.31±11.57,16.14±10.33,0.8659251607166819
入院科室_创伤骨科,分类,1/122 (0.8%),2/102 (2.0%),0.8757825082064989
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,分类,1/122 (0.8%),2/102 (2.0%),0.8757825082064989
红细胞计数(*10^12/L),连续,3.87±0.73,3.81±0.85,0.8962257827671117
VTE首次中高危评分日期与药物预防日期差值_37,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
入院科室_内分泌科,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.73,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.74,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与药物预防日期差值_11,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与药物预防日期差值_12,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与药物预防日期差值_-29,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与药物预防日期差值_-9,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与机械预防日期差值_-29,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.84,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与机械预防日期差值_-5,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_脑血管狭窄,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_脑转移瘤术后恢复期,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_脓毒血症,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_腰椎间盘突出,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_败血症,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_胃多发溃疡并出血,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_胆囊结石伴急性胆囊炎,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_胆总管结石,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_胸段脊髓胶质瘤，WHO2级,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.37,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.4,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.8,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_梗阻性黄疸,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_特鲁索综合征,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_社区获得性肺炎，重症,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_类风湿性关节炎,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_细菌性肺炎,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_肝脏转移瘤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.75,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.94,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.01,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_恶性肿瘤维持性化学治疗,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_恶性肿瘤靶向治疗,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_慢性阻塞性肺病伴有急性加重,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_手术后恶性肿瘤化学治疗,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_手术后恶性肿瘤化学治疗第三次化疗后,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_支气管或肺恶性肿瘤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_胸痛,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_急性上消化道出血：消化性溃疡并出血,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_急性多发脑梗死,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_急性大面积脑梗死,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_急性广泛前壁心肌梗死,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_急性心力衰竭,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_急性肺动脉栓塞,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_肺挫伤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.51,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
VTE首次中高危评分日期与机械预防日期差值_37,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.21,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_左侧基底节区出血,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_左侧多发肋骨骨折（4-8肋）,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_左侧大隐静脉曲张,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_左股骨粗隆下骨折术后,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_左胫骨平台骨折,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_左腋神经损伤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_右肺嗜肺军团菌肺炎,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_心源性脑栓塞,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.24,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.25,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.4,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.53,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.67,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.16,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.23,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.29,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.33,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_右髂骨粉碎性骨折,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_大气道狭窄,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_大脑中动脉狭窄,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_大面积肺栓塞（高危组 ）,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_化疗后骨髓抑制,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_十二指肠腺癌并出血,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_头晕查因：后循环缺血？,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.58,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.69,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_2.92,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.03,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.72,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.75,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_双肺肺炎（肺炎克雷伯杆菌+白色念珠菌+克柔念珠菌）,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_双肾多发错构瘤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_发热查因：重症肺炎？其他？,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_取除下腔静脉滤器,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_右侧胫骨髁间棘骨折,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_下肢肌肉损伤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_右肺肺炎,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_右胫骨骨折 ,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.76,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.9,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.91,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.75,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_3.76,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_乳腺恶性肿瘤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_充血性心力衰竭,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_全身多发损伤,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_再生障碍性贫血,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_冠状动脉粥样硬化性心脏病 三支病变,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_出血性脑梗死,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_14.52,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_双侧腹股沟复发性直疝,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_双侧颈内动脉C5段动脉瘤可能,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_22.0,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_24.08,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_50.54,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_1.双侧乳腺肿物性质待查：纤维腺瘤？乳腺腺病？乳腺癌？,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_2型糖尿病,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_下肢静脉血栓形成,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_4.63,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_9.14,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_9.23,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_12.13,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_21.7,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
入院科室_心胸外科,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
入院科室_泌尿外科,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
入院科室_甲乳外科,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_重型原发性免疫性血小板减少症,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_降结肠恶性肿瘤结肠癌伴出血,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
主要疾病诊断_颅占位性病变,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.65,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,分类,0/122 (0.0%),1/102 (1.0%),0.9284107720671994
