变量,β系数,OR,95%CI下限,95%CI上限,P值
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,-0.9491,0.3871,0.0233,6.4398,0.5082
VTE首次中高危评分日期与药物预防日期差值_-3,-0.9491,0.3871,0.0233,6.4398,0.5082
VTE首次中高危评分日期与药物预防日期差值_11,-0.9491,0.3871,0.0233,6.4398,0.5082
主要疾病诊断_急性心力衰竭,-0.9491,0.3871,0.0233,6.4398,0.5082
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,-0.9491,0.3871,0.0233,6.4398,0.5082
VTE首次中高危评分日期与药物预防日期差值_8,-0.9491,0.3871,0.0233,6.4398,0.5082
手术史,-0.3102,0.7333,0.2863,1.8784,0.5181
预防措施_机械预防,-0.4212,0.6562,0.1741,2.4736,0.5338
年龄,-0.0093,0.9908,0.96,1.0226,0.5653
性别_男,0.2728,1.3136,0.5177,3.3335,0.5659
性别_女,-0.2728,0.7613,0.3,1.9318,0.5659
高血压史,-0.2513,0.7778,0.281,2.1529,0.6285
肾功能不全,0.2513,1.2857,0.4645,3.5589,0.6285
入院科室_心血管内科,0.4868,1.6271,0.1729,15.3161,0.6704
首次异常DD与入院日期差值,0.1185,1.1258,0.6321,2.0051,0.6874
RBC平均血红蛋白量(MCH),-0.0286,0.9718,0.8215,1.1495,0.7384
炎症,-0.1573,0.8545,0.2921,2.4993,0.774
出院收缩压,0.0033,1.0034,0.9768,1.0306,0.8065
出院舒张压,-0.0056,0.9944,0.9504,1.0405,0.8088
入院舒张压,-0.0039,0.9961,0.9601,1.0334,0.8347
入院科室_神经内科,-0.2397,0.7869,0.0681,9.0866,0.8477
入院科室_肿瘤科,-0.2397,0.7869,0.0681,9.0866,0.8477
RBC平均血红蛋白浓度(MCHC),0.0026,1.0026,0.973,1.0331,0.8652
VTE首次中高危评分日期与药物预防日期差值_1,0.1823,1.2,0.1189,12.1153,0.8772
入院科室_呼吸与危重症医学科,0.0645,1.0667,0.2589,4.3954,0.9288
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,18.9387,167861632.5698,0.0,inf,0.9989
入院科室_脊柱外科,-20.8779,0.0,0.0,inf,0.9989
入院科室_急诊科,18.9387,167861632.5698,0.0,inf,0.9989
首次异常D-二聚体检测数值（μg/ml FEU）_1.02,18.9387,167861632.5698,0.0,inf,0.9989
入院科室_全科医学科,18.9387,167861632.5698,0.0,inf,0.9989
VTE首次中高危评分日期与机械预防日期差值_2,-20.8779,0.0,0.0,inf,0.9989
入院科室_妇科,-20.8779,0.0,0.0,inf,0.9989
入院科室_心胸外科,18.9387,167861632.5698,0.0,inf,0.9989
主要疾病诊断_脑梗死亚急性期,18.9387,167861632.5698,0.0,inf,0.9989
主要疾病诊断_脑梗死恢复期,18.9387,167861632.5698,0.0,inf,0.9989
主要疾病诊断_肺恶性肿瘤,18.9387,167861632.5698,0.0,inf,0.9989
VTE首次中高危评分日期与药物预防日期差值_10,-20.8779,0.0,0.0,inf,0.9989
VTE首次中高危评分日期与药物预防日期差值_4,18.9387,167861632.5698,0.0,inf,0.9989
VTE首次中高危评分日期与药物预防日期差值_16,-20.8779,0.0,0.0,inf,0.9989
入院科室_普外科,20.7579,1035266356.9622,0.0,inf,0.9994
入院科室_介入科,20.7579,1035266356.9622,0.0,inf,0.9994
主要疾病诊断_脑出血恢复期,20.7579,1035266356.9623,0.0,inf,0.9994
入院科室_血液内科,20.7579,1035266356.9623,0.0,inf,0.9994
入院科室_肾内科,20.7579,1035266356.9622,0.0,inf,0.9994
预防措施_无预防,24.4409,41167635335.6,0.0,inf,0.9997
VTE首次中高危评分日期与药物预防日期差值_3,24.8942,64775151684.8057,0.0,inf,0.9999
首次异常D-二聚体检测数值（μg/ml FEU）_4.98,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.91,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,-78.8714,0.0,0.0,inf,1.0
入院科室_康复科,32.7897,173940434385169.56,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_10,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_28,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_8,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-2,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-4,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-6,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与机械预防日期差值_-12,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_泌尿外科,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_慢性心力衰竭急性发作,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_急性非ST段抬高型心肌梗死,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_急性肺栓塞,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_急性脑梗死,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_左侧股骨颈骨折,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_基底节出血(右侧),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_卵巢黏液性囊腺瘤(右侧),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_多发性大脑挫裂伤(双侧额叶、颞叶),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_基底节出血(左侧),-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_＞20.00,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_69.25,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_12.55,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_25.44,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.18,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.42,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.34,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,-78.8714,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.86,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_颞叶出血(左侧）,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_股骨颈骨折(右侧),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_肾恶性肿瘤,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_重症肺炎,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_蛛网膜下腔出血,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_腰椎间盘突出伴神经根病,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_脑干出血,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_肾错构瘤破裂出血(左侧),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_胸椎骨折,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_14,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_6,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_-2,-78.8714,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_2,-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_肾结石(双侧、右侧为著),-78.8714,0.0,0.0,inf,1.0
主要疾病诊断_肾肿物(右),-78.8714,0.0,0.0,inf,1.0
