变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
入院科室_普外科,22.5498,70495.6934,6212051252.0488,0.0,inf,0.9997447772796116
入院科室_肾内科,22.5498,70495.6934,6212051252.0488,0.0,inf,0.9997447772796116
主要疾病诊断_脑出血恢复期,22.5498,70495.6934,6212051252.0489,0.0,inf,0.9997447772796116
入院科室_脊柱外科,-30.0497,1431850.3885,0.0,0.0,inf,0.999983255075413
入院科室_妇科,-30.0616,1440347.6404,0.0,0.0,inf,0.9999833473057942
入院科室_康复科,32.7896,6457553.4492,173909626780282.9,0.0,inf,0.999995948576902
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_0.91,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_4.18,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_4.98,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_5.86,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_10.34,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_10.42,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_12.55,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_25.44,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_69.25,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_多发性大脑挫裂伤(双侧额叶、颞叶),-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_基底节出血(左侧),-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_基底节出血(右侧),-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_卵巢黏液性囊腺瘤(右侧),-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
首次异常D-二聚体检测数值（μg/ml FEU）_＞20.00,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_急性脑梗死,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_左侧股骨颈骨折,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_泌尿外科,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_肾恶性肿瘤,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_股骨颈骨折(右侧),-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_肾结石(双侧、右侧为著),-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_急性非ST段抬高型心肌梗死,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_慢性心力衰竭急性发作,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_急性肺栓塞,-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_胸椎骨折,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_肾错构瘤破裂出血(左侧),-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_肾肿物(右),-78.8714,8.263241114825742e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_脑干出血,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_重症肺炎,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_蛛网膜下腔出血,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_颞叶出血(左侧）,-78.8714,8.263241115741326e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_腰椎间盘突出伴神经根病,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,-78.8714,8.263241115639398e+16,0.0,0.0,inf,0.9999999999999992
