变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值
VTE评估量表（padua1，caprini2，P+C3）_padua,0.8473,1.1684,2.3333,0.2363,23.0415,0.4683299949057321
住院天数,-0.0321,0.0445,0.9684,0.8876,1.0566,0.4704995456691232
首次DD与入院日期差值,-0.3313,0.6147,0.718,0.2152,2.3951,0.5898664988409816
入院科室_康复科,-0.6109,1.1813,0.5429,0.0536,5.4984,0.6050540395900582
VTE首次中高危评分日期与入院日期差值,0.2295,0.4646,1.258,0.5061,3.1273,0.6212774283922369
纤维蛋白原Fbg（g/L）,-0.1813,0.3755,0.8342,0.3996,1.7412,0.6291469868319166
出院舒张压,-0.0205,0.0429,0.9797,0.9007,1.0656,0.6322181681783066
首次DD与入院日期差值与VTE首次中高危评分日期差值,0.1281,0.2805,1.1367,0.656,1.9698,0.6478171022130423
白细胞计数(*10^9/L),0.0506,0.114,1.0519,0.8412,1.3153,0.6572667884656485
糖尿病史,0.3365,0.8194,1.4,0.281,6.9762,0.6813447977777477
是否存在抗凝禁忌,0.3438,0.8374,1.4103,0.2732,7.279,0.6814069757244281
RBC平均血红蛋白浓度(MCHC),-0.0083,0.023,0.9918,0.9481,1.0374,0.7183864124659416
入院科室_心血管内科,0.452,1.2994,1.5714,0.1231,20.0597,0.7279493362190862
入院科室_泌尿外科,0.452,1.2994,1.5714,0.1231,20.0597,0.7279493362190862
感染史,-0.452,1.2994,0.6364,0.0499,8.1233,0.7279493362190862
高血压史,0.3365,1.2012,1.4,0.1329,14.7435,0.7793886818385873
红细胞计数(*10^12/L),-0.126,0.4594,0.8816,0.3583,2.1692,0.7838859921516143
VTE中高危评分,0.0296,0.1531,1.03,0.763,1.3906,0.8467230699076558
是否体力活动水平低,16.7504,1533.7757,18819740.9874,0.0,inf,0.9912864487816281
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,-16.2635,2082.523,0.0,0.0,inf,0.9937689698790884
主要疾病诊断_难治性心力衰竭,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
入院科室_重症医学科,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
主要疾病诊断_慢性心力衰竭急性发作,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_6.38,22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_2.06,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_5.45,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
主要疾病诊断_尿毒症性脑病,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
主要疾病诊断_化疗后骨髓抑制,22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
主要疾病诊断_肾结石(双侧、右侧为著),22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
主要疾病诊断_胆囊结石伴有急性胆囊炎,22.9613,52290.517,9374735195.1329,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
首次异常D-二聚体检测数值（μg/ml FEU）_4.04,22.9613,52290.517,9374735195.1328,0.0,inf,0.9996496409945678
入院科室_肿瘤科,-23.2357,103889.9812,0.0,0.0,inf,0.9998215476467303
炎症,24.3557,134004.5623,37805520501.6542,0.0,inf,0.9998549821491567
出血风险评估（1/0）,26.7528,247750.5964,415507031817.5794,0.0,inf,0.9999138423127029
VTE评估量表（padua1，caprini2，P+C3）_caprini,-26.7172,436429.7085,0.0,0.0,inf,0.9999511553739441
入院科室_急诊科,28.1731,463625.3184,1719555549224.7578,0.0,inf,0.9999515150052836
入院科室_神经外科,-25.7443,456517.7326,0.0,0.0,inf,0.9999550050577966
首次异常D-二聚体检测数值（μg/ml FEU）_1.02,-25.7443,456517.7326,0.0,0.0,inf,0.9999550050577966
主要疾病诊断_脑出血恢复期,-25.7443,456517.7326,0.0,0.0,inf,0.9999550050577966
入院科室_肾内科,-25.7443,456517.7326,0.0,0.0,inf,0.9999550050577976
主要疾病诊断_脑梗死恢复期  偏瘫(左侧)  皮肤感觉减退(左侧)  肩关节半脱位(左),-29.3655,4036019.7602,0.0,0.0,inf,0.9999941947092329
首次异常D-二聚体检测数值（μg/ml FEU）_1.45,-29.3655,4036019.7602,0.0,0.0,inf,0.9999941947092329
主要疾病诊断_锁骨下盗血综合征伴锁骨下动脉狭窄(左侧) ,-29.3655,4036019.7602,0.0,0.0,inf,0.9999941947092329
主要疾病诊断_乳腺恶性肿瘤,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
主要疾病诊断_意识障碍(查因),-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
主要疾病诊断_肾输尿管结石伴肾积水和感染,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
主要疾病诊断_手术后恶性肿瘤化学治疗,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
入院科室_妇科,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
入院科室_老年医学科,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
入院科室_甲乳外科,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
主要疾病诊断_脑室腹腔分流管腹腔段外露,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,-29.3655,4036020.3639,0.0,0.0,inf,0.9999941947100421
首次异常D-二聚体检测数值（μg/ml FEU）_1.64,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891134
首次异常D-二聚体检测数值（μg/ml FEU）_2.74,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891134
主要疾病诊断_急性消化道出血：消化性溃疡并出血？,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891134
入院科室_消化内科,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891134
主要疾病诊断_脑梗死亚急性期,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891134
主要疾病诊断_慢性肾脏病V期 慢性心力衰竭 肾性贫血 低钙血症 高磷血症,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891135
入院科室_介入科,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891135
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891135
首次异常D-二聚体检测数值（μg/ml FEU）_1.11,-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891135
主要疾病诊断_下肢静脉闭塞(右髂静脉),-29.3657,4036377.8019,0.0,0.0,inf,0.9999941951891135
入院科室_全科医学科,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_急性暴发性心肌炎,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_0.81,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_4.77,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_不稳定型心绞痛,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_3.88,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_0.98,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_3.61,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_肾恶性肿瘤,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_结肠恶性肿瘤,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_肺恶性肿瘤,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_肾造瘘管移位,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_股骨骨折后遗症,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
主要疾病诊断_成人Ph-急性淋巴细胞白血病,-29.38,4065389.2606,0.0,0.0,inf,0.9999942338022587
首次异常D-二聚体检测数值（μg/ml FEU）_7.58,-29.38,4065389.8748,0.0,0.0,inf,0.9999942338030706
主要疾病诊断_慢性肾脏病IV期 肾性贫血 高磷血症 继发性甲状旁腺功能亢进 代谢性酸中毒 血液透析 血管透析导管的机械性并发症,-29.38,4065389.8748,0.0,0.0,inf,0.9999942338030706
