变量,β系数,OR,95%CI下限,95%CI上限,P值
VTE评估量表（padua1，caprini2，P+C3）_caprini,-0.4134,0.6614,0.3719,1.1762,0.1593
是否存在抗凝禁忌,-0.3935,0.6747,0.3877,1.1742,0.164
VTE首次中高危评分日期与药物预防日期差值_4,-1.4624,0.2317,0.0266,2.0159,0.1852
VTE首次中高危评分日期与入院日期差值,-0.2038,0.8156,0.6031,1.1031,0.1859
首次D-二聚体检测数值（μg/ml FEU）,-0.0637,0.9383,0.8536,1.0314,0.1869
VTE诊断日期与入院日期是否大于24h,0.3365,1.4,0.8252,2.3753,0.2122
肾功能不全,-0.3697,0.691,0.383,1.2468,0.2196
入院科室_普外科,0.7764,2.1737,0.6179,7.6465,0.2263
出院收缩压,0.0091,1.0092,0.9943,1.0243,0.2297
VTE首次中高危评分日期与药物预防日期差值_7,1.2993,3.6667,0.3755,35.8014,0.2638
主要疾病诊断_重症肺炎,-1.2307,0.2921,0.0321,2.6555,0.2745
VTE首次中高危评分日期与药物预防日期差值_9,-1.2307,0.2921,0.0321,2.6555,0.2745
VTE首次中高危评分日期与药物预防日期差值_1,-0.4991,0.6071,0.2464,1.4957,0.278
出院舒张压,0.0134,1.0135,0.9893,1.0383,0.2783
手术史,0.2885,1.3345,0.7876,2.2611,0.2835
嗜酸粒细胞绝对值(E0#)（*10^9/L）,0.9101,2.4845,0.4446,13.8846,0.2999
主要疾病诊断_脑出血恢复期,0.8957,2.449,0.4393,13.6522,0.3069
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,0.8957,2.449,0.4393,13.6522,0.3069
VTE评估量表（padua1，caprini2，P+C3）_padua,0.2915,1.3385,0.7648,2.3426,0.3073
入院科室_肿瘤科,-0.6975,0.4978,0.1254,1.9767,0.3215
入院科室_甲乳血管外科,0.7152,2.0447,0.4766,8.7713,0.3357
钾离子,0.249,1.2827,0.7448,2.2089,0.3693
白细胞计数(*10^9/L),-0.0306,0.9699,0.9055,1.0388,0.3831
RBC平均血红蛋白量(MCH),0.0381,1.0388,0.9504,1.1355,0.4016
纤维蛋白原Fbg（g/L）,0.0793,1.0825,0.893,1.3123,0.4194
入院科室_骨关节科,-0.9346,0.3927,0.0402,3.8345,0.4215
VTE首次中高危评分日期与药物预防日期差值_6,-0.9346,0.3927,0.0402,3.8345,0.4215
VTE首次中高危评分日期与机械预防日期差值_3,-0.9346,0.3927,0.0402,3.8345,0.4215
首次异常DD与入院日期差值,0.1383,1.1483,0.817,1.614,0.426
VTE首次中高危评分日期与药物预防日期差值_none,0.2421,1.274,0.6998,2.3191,0.4282
中性粒细胞绝对值(NEUT#)（*10^9/L）,-0.029,0.9714,0.9026,1.0454,0.4384
入院舒张压,-0.008,0.992,0.972,1.0124,0.4392
Braden量表,0.0223,1.0226,0.9645,1.0842,0.4545
入院科室_老年医学科,-0.5347,0.5859,0.1428,2.4035,0.4579
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,0.8838,2.42,0.2163,27.0799,0.4732
入院科室_创伤骨科,0.8838,2.42,0.2163,27.0799,0.4732
凝血酶原时间PT（s）,-0.0605,0.9413,0.7867,1.1262,0.5083
主要疾病诊断_慢性肾脏病5期,0.5978,1.8182,0.2979,11.0974,0.5171
红细胞计数(*10^12/L),-0.1102,0.8957,0.6401,1.2533,0.5203
VTE首次中高危评分日期与药物预防日期差值_3,0.4191,1.5206,0.3974,5.8186,0.5404
首次VTE中高风险评分日期与药物预防日期差值,-0.0209,0.9793,0.9103,1.0536,0.5747
身高,-0.9409,0.3903,0.0141,10.7977,0.5786
是否步速缓慢,-0.1487,0.8618,0.5035,1.4752,0.5876
BMI,0.0223,1.0225,0.9423,1.1095,0.5931
入院科室_神经内科,0.2027,1.2247,0.5404,2.7756,0.6272
是否药物预防,-0.1385,0.8707,0.4715,1.6081,0.6582
VTE首次中高危评分日期与机械预防日期差值_-4,-0.5208,0.5941,0.0531,6.6474,0.6726
主要疾病诊断_肺炎,-0.5208,0.5941,0.0531,6.6474,0.6726
主要疾病诊断_颈部脊髓损伤,-0.5208,0.5941,0.0531,6.6474,0.6726
VTE首次中高危评分日期与药物预防日期差值_5,-0.5208,0.5941,0.0531,6.6474,0.6726
性别_男,0.085,1.0887,0.6431,1.8431,0.7517
性别_女,-0.085,0.9185,0.5426,1.555,0.7517
入院科室_心血管内科,-0.1663,0.8468,0.2605,2.7532,0.7823
VTE首次中高危评分日期与药物预防日期差值_-1,0.1857,1.2041,0.2935,4.9395,0.7965
VTE首次中高危评分日期与机械预防日期差值_2,-0.2315,0.7933,0.13,4.842,0.8019
入院科室_重症医学科,-0.2315,0.7933,0.13,4.842,0.8019
首次VTE中高风险评分日期与机械预防日期差值,0.0063,1.0063,0.9575,1.0575,0.8052
入院科室_血液科,0.184,1.202,0.2373,6.0883,0.8241
主要疾病诊断_急性脑梗死,0.184,1.202,0.2373,6.0883,0.8241
主要疾病诊断_脑梗死,0.184,1.202,0.2373,6.0883,0.8241
首次DD与入院日期差值,-0.0367,0.964,0.6723,1.3822,0.8418
VTE首次中高危评分日期与药物预防日期差值_-2,0.1823,1.2,0.166,8.6726,0.8566
VTE首次中高危评分日期与药物预防日期差值_-3,0.1823,1.2,0.166,8.6726,0.8566
入院科室_消化内科,0.1823,1.2,0.166,8.6726,0.8566
VTE首次中高危评分日期与药物预防日期差值_8,0.1823,1.2,0.166,8.6726,0.8566
入院科室_肾内科,-0.1121,0.8939,0.1954,4.0897,0.8851
主要疾病诊断_肺部感染,-0.1121,0.8939,0.1954,4.0897,0.8851
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,0.1807,1.198,0.074,19.3954,0.8988
VTE首次中高危评分日期与药物预防日期差值_15,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_5.74,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_4.38,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_3.71,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.04,0.1807,1.198,0.074,19.3954,0.8988
主要疾病诊断_呼吸困难,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,0.1807,1.198,0.074,19.3954,0.8988
主要疾病诊断_腰椎压缩性骨折,0.1807,1.198,0.074,19.3954,0.8988
VTE首次中高危评分日期与药物预防日期差值_-14,0.1807,1.198,0.074,19.3954,0.8988
主要疾病诊断_急性肺栓塞,0.1807,1.198,0.074,19.3954,0.8988
入院科室_介入科,0.1807,1.198,0.074,19.3954,0.8988
入院科室_妇科,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_1.81,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_0.71,0.1807,1.198,0.074,19.3954,0.8988
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,0.1807,1.198,0.074,19.3954,0.8988
VTE首次中高危评分日期与药物预防日期差值_-6,0.1807,1.198,0.074,19.3954,0.8988
入院科室_风湿免疫科,0.1807,1.198,0.074,19.3954,0.8988
VTE首次中高危评分日期与机械预防日期差值_32,0.1807,1.198,0.074,19.3954,0.8988
VTE首次中高危评分日期与机械预防日期差值_-2,0.1807,1.198,0.074,19.3954,0.8988
VTE首次中高危评分日期与药物预防日期差值_16,0.1807,1.198,0.074,19.3954,0.8988
住院天数,-0.0014,0.9986,0.9749,1.0228,0.9058
RBC平均血红蛋白浓度(MCHC),0.0004,1.0004,0.9807,1.0204,0.9709
血红蛋白浓度HGB【确诊前最近一次】(g/L),-0.0002,0.9998,0.989,1.0107,0.976
总钙(mmol/L),-0.0181,0.9821,0.1639,5.8835,0.9842
VTE确诊日期与入院日期差值,0.0004,1.0004,0.9588,1.0438,0.9867
VTE首次中高危评分日期与药物预防日期差值_0,0.0042,1.0042,0.5491,1.8366,0.989
主要疾病诊断_脑内出血,-16.6987,0.0,0.0,inf,0.9941
主要疾病诊断_下肢深静脉血栓形成,16.8966,21782105.322,0.0,inf,0.9955
首次异常D-二聚体检测数值（μg/ml FEU）_1.2,16.8966,21782105.322,0.0,inf,0.9955
首次异常D-二聚体检测数值（μg/ml FEU）_1.65,16.8966,21782105.322,0.0,inf,0.9955
VTE首次中高危评分日期与机械预防日期差值_9,-16.535,0.0,0.0,inf,0.9956
VTE首次中高危评分日期与机械预防日期差值_-3,-16.535,0.0,0.0,inf,0.9956
VTE首次中高危评分日期与药物预防日期差值_10,-16.535,0.0,0.0,inf,0.9956
VTE首次中高危评分日期与药物预防日期差值_-4,-16.535,0.0,0.0,inf,0.9956
主要疾病诊断_大脑动脉闭塞脑梗死,-16.535,0.0,0.0,inf,0.9956
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_1.9,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_2.95,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_3.77,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,-16.535,0.0,0.0,inf,0.9956
首次异常D-二聚体检测数值（μg/ml FEU）_2.02,-16.535,0.0,0.0,inf,0.9956
主要疾病诊断_社区获得性肺炎,-16.535,0.0,0.0,inf,0.9956
VTE首次中高危评分日期与机械预防日期差值_-1,-18.3879,0.0,0.0,inf,0.9966
VTE首次中高危评分日期与药物预防日期差值_37,26.2511,251590469253.099,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_19,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_17,-25.8904,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_13,-57.7816,0.0,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_12,26.2511,251590469253.099,0.0,inf,1.0
VTE首次中高危评分日期与药物预防日期差值_11,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.1,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.01,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.0,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.94,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.85,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.83,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.8,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.75,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.66,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.6,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.51,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.42,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.4,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.37,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.29,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.28,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.65,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.59,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.52,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.51,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.49,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.47,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.4,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.37,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.33,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.29,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.24,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.23,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.16,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.67,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.66,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.65,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.57,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.53,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.4,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.28,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.25,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.24,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.21,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.16,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.03,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.0,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.92,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.69,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.61,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.58,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.56,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.4,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.27,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.2,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.16,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.82,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.81,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.8,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.78,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.76,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.75,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.746,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.58,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.3,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.22,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.01,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.91,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.9,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.82,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.76,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.75,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.72,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.67,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.63,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.52,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.32,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.18,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.17,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.47,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.4,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.44,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.19,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_13.67,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_12.13,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_11.18,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_10.68,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.99,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.23,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.21,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_9.14,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.8,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.4,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_8.39,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.85,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.79,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_2型糖尿病,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_1.双侧乳腺肿物性质待查：纤维腺瘤？乳腺腺病？乳腺癌？,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_63.67,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_50.54,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_45.99,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_29.74,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_26.67,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_25.39,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_24.08,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_23.42,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_22.0,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_21.7,26.2511,251590469253.099,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,26.2511,251590469253.0981,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_16.488,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_15.63,-25.8904,0.0,0.0,inf,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_14.52,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_前列腺恶性肿瘤并多发骨转移,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_出血性脑梗死,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_冠状动脉粥样硬化性心脏病 三支病变,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_冠状动脉粥样硬化性心脏病,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_再生障碍性贫血,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_全身多发损伤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_充血性心力衰竭,26.2511,251590469253.0981,0.0,inf,1.0
主要疾病诊断_便血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_乳腺恶性肿瘤,26.2511,251590469253.099,0.0,inf,1.0
主要疾病诊断_乙状结肠肿瘤,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_丙型肝炎后肝硬化失代偿期,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_丘脑出血,-25.8904,0.0,0.0,inf,1.0
主要疾病诊断_下肢静脉血栓形成,26.2511,251590469253.099,0.0,inf,1.0
