Variable,Type,Count,Mean,Std Dev,Min,Max,25%,50%(Median),75%,Category,Percentage (%)
首次DD与入院日期差值,Categorical,224,,,,,,,,110,49.11
我院相关VTE,Categorical,224,,,,,,,,153,68.3
是否疲惫,Categorical,224,,,,,,,,55,24.55
肾功能不全,Categorical,224,,,,,,,,64,28.57
是否久坐/卧床,Categorical,224,,,,,,,,146,65.18
规范预防,Categorical,224,,,,,,,,55,24.55
呼吸系统疾病/COPD,Categorical,224,,,,,,,,116,51.79
手术史,Categorical,224,,,,,,,,112,50.0
感染史,Categorical,224,,,,,,,,148,66.07
炎症,Categorical,224,,,,,,,,132,58.93
是否机械预防,Categorical,224,,,,,,,,92,41.07
VTE评估量表（padua1，caprini2，P+C3）_caprini,Categorical,224,,,,,,,,70,31.25
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,Categorical,224,,,,,,,,0,0.0
VTE评估量表（padua1，caprini2，P+C3）_padua,Categorical,224,,,,,,,,148,66.07
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,Categorical,224,,,,,,,,6,2.68
入院科室_介入科,Categorical,224,,,,,,,,2,0.89
入院科室_全科医学科,Categorical,224,,,,,,,,1,0.45
入院科室_内分泌科,Categorical,224,,,,,,,,1,0.45
入院科室_创伤中心,Categorical,224,,,,,,,,1,0.45
入院科室_创伤骨科,Categorical,224,,,,,,,,3,1.34
入院科室_吸与危重症医学科,Categorical,224,,,,,,,,0,0.0
入院科室_呼吸与危重症医学科,Categorical,224,,,,,,,,38,16.96
入院科室_妇科,Categorical,224,,,,,,,,2,0.89
入院科室_康复科,Categorical,224,,,,,,,,28,12.5
入院科室_心胸外科,Categorical,224,,,,,,,,1,0.45
入院科室_心血管内科,Categorical,224,,,,,,,,12,5.36
入院科室_急诊科,Categorical,224,,,,,,,,1,0.45
入院科室_感染科,Categorical,224,,,,,,,,3,1.34
入院科室_普外科,Categorical,224,,,,,,,,11,4.91
入院科室_泌尿外科,Categorical,224,,,,,,,,1,0.45
入院科室_消化内科,Categorical,224,,,,,,,,4,1.79
入院科室_甲乳外科,Categorical,224,,,,,,,,1,0.45
入院科室_甲乳血管外科,Categorical,224,,,,,,,,8,3.57
入院科室_神经内科,Categorical,224,,,,,,,,26,11.61
入院科室_神经外科,Categorical,224,,,,,,,,27,12.05
入院科室_老年医学科,Categorical,224,,,,,,,,9,4.02
入院科室_肾内科,Categorical,224,,,,,,,,7,3.12
入院科室_肿瘤科,Categorical,224,,,,,,,,10,4.46
入院科室_脊柱外科,Categorical,224,,,,,,,,10,4.46
入院科室_血液内科,Categorical,224,,,,,,,,0,0.0
入院科室_血液科,Categorical,224,,,,,,,,6,2.68
入院科室_重症医学科,Categorical,224,,,,,,,,5,2.23
入院科室_风湿免疫科,Categorical,224,,,,,,,,2,0.89
入院科室_骨关节科,Categorical,224,,,,,,,,4,1.79
VTE首次中高危评分日期与机械预防日期差值_-33,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_-29,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_-14,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_-12,Categorical,224,,,,,,,,0,0.0
VTE首次中高危评分日期与机械预防日期差值_-8,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_-7,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_-6,Categorical,224,,,,,,,,0,0.0
VTE首次中高危评分日期与机械预防日期差值_-5,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_-4,Categorical,224,,,,,,,,3,1.34
VTE首次中高危评分日期与机械预防日期差值_-3,Categorical,224,,,,,,,,2,0.89
VTE首次中高危评分日期与机械预防日期差值_-2,Categorical,224,,,,,,,,2,0.89
VTE首次中高危评分日期与机械预防日期差值_-1,Categorical,224,,,,,,,,6,2.68
VTE首次中高危评分日期与机械预防日期差值_0,Categorical,224,,,,,,,,48,21.43
VTE首次中高危评分日期与机械预防日期差值_1,Categorical,224,,,,,,,,10,4.46
VTE首次中高危评分日期与机械预防日期差值_2,Categorical,224,,,,,,,,5,2.23
VTE首次中高危评分日期与机械预防日期差值_3,Categorical,224,,,,,,,,4,1.79
VTE首次中高危评分日期与机械预防日期差值_4,Categorical,224,,,,,,,,0,0.0
VTE首次中高危评分日期与机械预防日期差值_5,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_6,Categorical,224,,,,,,,,0,0.0
VTE首次中高危评分日期与机械预防日期差值_8,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_9,Categorical,224,,,,,,,,2,0.89
VTE首次中高危评分日期与机械预防日期差值_10,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_12,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_28,Categorical,224,,,,,,,,0,0.0
VTE首次中高危评分日期与机械预防日期差值_32,Categorical,224,,,,,,,,2,0.89
VTE首次中高危评分日期与机械预防日期差值_37,Categorical,224,,,,,,,,1,0.45
VTE首次中高危评分日期与机械预防日期差值_none,Categorical,224,,,,,,,,129,57.59
机械预防措施（VTE确诊前）_0,Categorical,224,,,,,,,,132,58.93
机械预防措施（VTE确诊前）_气压治疗,Categorical,224,,,,,,,,92,41.07
首次异常D-二聚体检测数值（μg/ml FEU）_0.16,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.24,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.51,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.54,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,Categorical,224,,,,,,,,25,11.16
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.6,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.62,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.65,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.66,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.71,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.73,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.74,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.77,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.79,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.8,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.81,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.82,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.84,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.88,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.9,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.91,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.96,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_0.98,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_0.99,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.02,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.04,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.05,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.09,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.1,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.11,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.13,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.2,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,Categorical,224,,,,,,,,3,1.34
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.28,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.29,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.36,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.37,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.4,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.42,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.45,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.5,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.51,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.6,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.64,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.65,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.66,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.75,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.79,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.8,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.81,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.83,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.85,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_1.9,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_1.94,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.0,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.01,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.02,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_2.06,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.1,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.12,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.13,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.16,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.23,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.24,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_2.28,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.29,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.33,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.37,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.38,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.4,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.47,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.48,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.49,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.51,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.52,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.55,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_2.59,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.65,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.69,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.74,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_2.92,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_2.95,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_2.97,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.0,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.03,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.04,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.16,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.21,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.24,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.25,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.28,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.4,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.53,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.54,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.57,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.61,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_3.65,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.66,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.67,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.71,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_3.75,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.76,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.77,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_3.78,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.8,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.81,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.82,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_3.88,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.04,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.16,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.18,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.2,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.27,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.38,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_4.4,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.56,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.58,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.61,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.63,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.67,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.72,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.75,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.76,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.77,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_4.82,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.9,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.91,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_4.98,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.01,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_5.22,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_5.3,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_5.45,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.58,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_5.74,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_5.746,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_5.84,Categorical,224,,,,,,,,2,0.89
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_5.86,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_5.97,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.12,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_6.38,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_6.4,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_6.47,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.17,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.18,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.32,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.52,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.58,Categorical,224,,,,,,,,0,0.0
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.79,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_7.85,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_8.39,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_8.4,Categorical,224,,,,,,,,1,0.45
首次异常D-二聚体检测数值（μg/ml FEU）_8.8,Categorical,224,,,,,,,,1,0.45
