变量,β系数,OR,95%CI下限,95%CI上限,P值
手术史,-0.1686,0.8448,0.423,1.6875,0.6329
首次异常DD与入院日期差值,0.0789,1.0821,0.705,1.6608,0.7181
RBC平均血红蛋白量(MCH),-0.0218,0.9784,0.8668,1.1045,0.7244
VTE首次中高危评分日期与药物预防日期差值_3,-0.2677,0.7652,0.1486,3.9405,0.7489
嗜酸粒细胞绝对值(E0#)（*10^9/L）,0.3509,1.4203,0.1618,12.471,0.7516
身高,0.6785,1.9709,0.0278,139.7342,0.755
凝血酶原时间PT（s）,0.0342,1.0348,0.8313,1.2881,0.7595
入院科室_消化内科,-0.2609,0.7704,0.078,7.6076,0.8233
主要疾病诊断_脑梗死,-0.2609,0.7704,0.078,7.6076,0.8233
入院科室_老年医学科,-0.2609,0.7704,0.078,7.6076,0.8233
VTE首次中高危评分日期与机械预防日期差值_-4,0.1542,1.1667,0.1031,13.1955,0.9009
年龄,0.0014,1.0014,0.9784,1.0248,0.9081
出院收缩压,-0.001,0.999,0.9803,1.0181,0.9205
入院科室_神经内科,-0.0352,0.9654,0.3195,2.9169,0.9503
VTE首次中高危评分日期与药物预防日期差值_1,0.0364,1.037,0.3025,3.5551,0.9539
出院舒张压,0.0008,1.0008,0.9707,1.0319,0.9596
RBC平均血红蛋白浓度(MCHC),-0.0006,0.9994,0.9746,1.0248,0.9603
VTE首次中高危评分日期与药物预防日期差值_7,-15.7017,0.0,0.0,inf,0.9935
入院科室_重症医学科,-15.7017,0.0,0.0,inf,0.9935
VTE首次中高危评分日期与药物预防日期差值_8,-15.7017,0.0,0.0,inf,0.9935
VTE首次中高危评分日期与机械预防日期差值_3,-15.7017,0.0,0.0,inf,0.9935
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_手术后恶性肿瘤化学治疗第三次化疗后,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_0.99,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.28,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.37,18.7656,141192982.5177,0.0,inf,0.9981
入院科室_心胸外科,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与药物预防日期差值_-5,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与机械预防日期差值_-33,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与药物预防日期差值_-27,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与药物预防日期差值_-11,18.7656,141192982.5177,0.0,inf,0.9981
入院科室_内分泌科,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与机械预防日期差值_-7,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与机械预防日期差值_12,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与机械预防日期差值_-14,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_腰椎间盘突出,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_细菌性肺炎,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_0.66,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_0.65,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_胸椎脱位t11/t12,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_脑干出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_恶性肿瘤靶向治疗,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_感染性休克,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与机械预防日期差值_-8,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_14.19,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_全身多发损伤,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_便血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_右膝半月板损伤,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_右侧颞叶出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_右侧基底节区脑出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_右侧丘脑出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_发热、呕吐,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_2.1,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.83,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.66,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_左股骨颈骨折,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_左侧附件区转移性鳞癌,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_左侧多发肋骨骨折（4-8肋）,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_左侧基底节脑出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_头晕查因：后循环缺血？,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_大脑动脉闭塞脑梗死,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_大脑中动脉瘤破裂伴蛛网膜下隙出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_多处受压区压疮 IV期,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_急性脑梗死 ,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_急性上消化道出血：消化性溃疡并出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_左额叶、胼胝体膝部脑出血,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_左肺腺癌Ⅲ期,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_1.42,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_23.42,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_25.39,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_2.16,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_2.37,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_29.74,18.7656,141192982.5177,0.0,inf,0.9981
主要疾病诊断_2型糖尿病,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_4.16,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_3.81,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_3.8,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_3.66,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_3.4,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_3.53,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_3.24,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_5.3,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_4.56,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_5.01,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_4.91,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_4.76,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_4.2,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_4.67,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_9.14,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_9.23,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_2.52,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_8.39,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_7.32,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_6.4,18.7656,141192982.5177,0.0,inf,0.9981
首次异常D-二聚体检测数值（μg/ml FEU）_2.95,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与药物预防日期差值_17,18.7656,141192982.5177,0.0,inf,0.9981
VTE首次中高危评分日期与药物预防日期差值_37,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_19,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_16,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_15,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_12,-16.9831,0.0,0.0,inf,0.9982
VTE首次中高危评分日期与药物预防日期差值_11,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.77,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.76,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.75,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.67,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.65,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.28,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.25,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.21,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.03,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_5.74,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.92,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.9,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.75,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.72,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.63,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.58,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_4.27,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_7.17,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_5.85,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_3.0,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.92,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.69,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.56,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.51,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.49,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.47,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.33,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.29,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.27,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.23,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_下肢静脉血栓形成,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_下肢肌肉损伤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_1.双侧乳腺肿物性质待查：纤维腺瘤？乳腺腺病？乳腺癌？,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_50.54,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_24.08,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_22.0,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_21.7,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_14.52,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_13.67,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_12.13,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_双侧颈内动脉C5段动脉瘤可能,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_双侧腹股沟复发性直疝,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_十二指肠腺癌并出血,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_化疗后骨髓抑制,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_前列腺恶性肿瘤并多发骨转移,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_出血性脑梗死,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_冠状动脉粥样硬化性心脏病 三支病变,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_冠状动脉粥样硬化性心脏病,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_再生障碍性贫血,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_充血性心力衰竭,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_乳腺恶性肿瘤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_乙状结肠肿瘤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_丙型肝炎后肝硬化失代偿期,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_丘脑出血,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_呼吸困难,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_吞咽困难,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_右髂骨粉碎性骨折,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_右胫骨骨折 ,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_右肺肺炎,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_右肺嗜肺军团菌肺炎,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_右侧胫骨髁间棘骨折,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_取除下腔静脉滤器,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_发热查因：重症肺炎？其他？,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_双肾多发错构瘤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_双肺肺炎（肺炎克雷伯杆菌+白色念珠菌+克柔念珠菌）,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_2.01,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.94,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.85,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.81,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.75,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.51,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_左股骨粗隆下骨折术后,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_左侧椎动脉V4段夹层动脉瘤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_左侧大隐静脉曲张,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_左侧基底节区出血,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_大面积肺栓塞（高危组 ）,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_大脑中动脉狭窄,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_大气道狭窄,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性脑梗死(左侧额顶枕叶、左侧侧脑室旁、右侧额叶 心源性栓塞型可能性大),-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性肺栓塞,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性疼痛,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性肺动脉栓塞,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性心力衰竭,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性广泛前壁心肌梗死,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_左腋神经损伤,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性大面积脑梗死,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_急性多发脑梗死,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_心源性脑栓塞,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.4,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_左胫骨平台骨折,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,-16.9831,0.0,0.0,inf,0.9982
主要疾病诊断_梗阻性黄疸,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_1.08,-16.9831,0.0,0.0,inf,0.9982
首次异常D-二聚体检测数值（μg/ml FEU）_0.84,-16.9831,0.0,0.0,inf,0.9982
