变量,β系数,OR,95%CI下限,95%CI上限,P值
红细胞计数(*10^12/L),-0.126,0.8816,0.3583,2.1692,0.7839
VTE首次中高危评分日期与药物预防日期差值_0,-0.2113,0.8095,0.1303,5.0283,0.8206
VTE首次中高危评分日期与药物预防日期差值_none,-0.1744,0.84,0.1621,4.3538,0.8355
VTE中高危评分,0.0296,1.03,0.763,1.3905,0.8467
首次VTE中高风险评分日期与药物预防日期差值,0.0259,1.0263,0.7774,1.3548,0.8549
主要疾病诊断_肾输尿管结石伴肾积水和感染,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_肾恶性肿瘤,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
主要疾病诊断_结肠恶性肿瘤,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
主要疾病诊断_脑室腹腔分流管腹腔段外露,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_肾造瘘管移位,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
主要疾病诊断_脑梗死亚急性期,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_0.81,-9.35,0.0001,0.0,5.147565767258628e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_0.98,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_0.72,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.45,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
VTE首次中高危评分日期与机械预防日期差值_6,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_3.88,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_3.61,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_2.74,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.64,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.72,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_慢性肾脏病V期 慢性心力衰竭 肾性贫血 低钙血症 高磷血症,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
VTE首次中高危评分日期与机械预防日期差值_8,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_0.83,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_急性暴发性心肌炎,-9.35,0.0001,0.0,5.147565767258628e+150,0.959
主要疾病诊断_意识障碍(查因),-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_乳腺恶性肿瘤,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_不稳定型心绞痛,-9.35,0.0001,0.0,5.147565767258628e+150,0.959
主要疾病诊断_下肢静脉闭塞(右髂静脉),-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_4.77,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.11,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
主要疾病诊断_成人Ph-急性淋巴细胞白血病,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
主要疾病诊断_手术后恶性肿瘤化学治疗,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_股骨骨折后遗症,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
主要疾病诊断_肺恶性肿瘤,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),-9.35,0.0001,0.0,5.147565642950854e+150,0.959
VTE首次中高危评分日期与药物预防日期差值_-3,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
主要疾病诊断_急性消化道出血：消化性溃疡并出血？,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
主要疾病诊断_慢性肾脏病IV期 肾性贫血 高磷血症 继发性甲状旁腺功能亢进 代谢性酸中毒 血液透析 血管透析导管的机械性并发症,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_7.58,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
VTE首次中高危评分日期与机械预防日期差值_-1,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
入院科室_甲乳外科,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
入院科室_妇科,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
入院科室_消化内科,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
入院科室_老年医学科,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
入院科室_全科医学科,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
入院科室_介入科,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
主要疾病诊断_锁骨下盗血综合征伴锁骨下动脉狭窄(左侧) ,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
主要疾病诊断_脑梗死恢复期  偏瘫(左侧)  皮肤感觉减退(左侧)  肩关节半脱位(左),-9.35,0.0001,0.0,5.147565642950854e+150,0.959
VTE首次中高危评分日期与药物预防日期差值_3,-9.35,0.0001,0.0,5.1475656444688904e+150,0.959
VTE首次中高危评分日期与药物预防日期差值_29,-9.35,0.0001,0.0,5.147565642950854e+150,0.959
VTE首次中高危评分日期与药物预防日期差值_-1,-9.35,0.0001,0.0,5.147565767260091e+150,0.959
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_慢性心力衰竭急性发作,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_尿毒症性脑病,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_化疗后骨髓抑制,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
入院科室_重症医学科,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
VTE首次中高危评分日期与机械预防日期差值_-2,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_2.06,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_4.04,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
VTE首次中高危评分日期与药物预防日期差值_-4,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
VTE首次中高危评分日期与药物预防日期差值_10,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_难治性心力衰竭,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_6.38,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
首次异常D-二聚体检测数值（μg/ml FEU）_5.45,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_胆囊结石伴有急性胆囊炎,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_肾结石(双侧、右侧为著),12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,12.5994,296394.1079,0.0,5.572673661724261e+255,0.9658
入院科室_肿瘤科,-18.7047,0.0,0.0,inf,0.9986
出血风险评估（1/0）,22.9411,9187793812.4372,0.0,inf,0.9995
入院科室_神经外科,-21.5188,0.0,0.0,inf,0.9997
主要疾病诊断_脑出血恢复期,-21.5188,0.0,0.0,inf,0.9997
入院科室_肾内科,-21.5188,0.0,0.0,inf,0.9997
入院科室_急诊科,23.9167,24372031017.2451,0.0,inf,0.9997
首次异常D-二聚体检测数值（μg/ml FEU）_1.02,-21.5188,0.0,0.0,inf,0.9997
VTE评估量表（padua1，caprini2，P+C3）_caprini,-22.4672,0.0,0.0,inf,0.9997
VTE首次中高危评分日期与药物预防日期差值_8,-21.5188,0.0,0.0,inf,0.9997
是否体力活动水平低,25.0271,73982168404.4798,0.0,inf,0.9998
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,-24.6216,0.0,0.0,inf,0.9999
炎症,24.8052,59260677374.8755,0.0,inf,0.9999
